ArrivalDate,ArrivalWeekNumber,AssignedRoom,AverageDailyRate,BookingChanges,BookingCompany,BookingDistributionChannel,BookingMeal,BookingParking,CheckoutDate,Country,CustomerType,DaysInWaitingList,DepositType,LeadTime,MarketSegment,NumberOfAdult,NumberOfBabies,NumberOfChildren,RepeatedGuest,ReservedRoom,StaysInWeekendNights,StaysInWeekNights,TotalOfSpecialRequests,TravelAgent
2015-July-2,27,E               ,137,0,       NULL,Direct,HB       ,0,2015-07-07,ROU,Transient,0,No Deposit     ,70,Direct,2,0,0,0,E               ,2,3,1,        250
2015-July-2,27,D               ,79.5,0,       NULL,TA/TO,BB       ,0,2015-07-07,IRL,Contract,0,No Deposit     ,45,Offline TA/TO,2,0,0,0,D               ,2,3,0,          8
2015-July-2,27,F               ,123,0,       NULL,Direct,BB       ,0,2015-07-07,ESP,Transient,0,No Deposit     ,16,Direct,2,0,0,0,F               ,2,3,0,       NULL
2015-July-2,27,E               ,137,0,       NULL,Direct,HB       ,0,2015-07-07,ROU,Transient,0,No Deposit     ,70,Direct,2,0,0,0,E               ,2,3,1,        250
2015-July-2,27,A               ,110.7,0,       NULL,TA/TO,BB       ,0,2015-07-09,PRT,Transient,0,No Deposit     ,107,Online TA,2,0,0,0,A               ,2,5,2,        240
2015-July-2,27,A               ,58.95,0,       NULL,TA/TO,BB       ,0,2015-07-09,ESP,Transient,0,No Deposit     ,96,Offline TA/TO,2,0,0,0,A               ,2,5,1,        134
2015-July-2,27,E               ,82.88,0,       NULL,TA/TO,BB       ,0,2015-07-09,NOR,Transient-Party,0,No Deposit     ,113,Offline TA/TO,2,0,0,0,E               ,2,5,2,        156
2015-July-2,27,B               ,82.35,1,       NULL,TA/TO,HB       ,0,2015-07-09,GBR,Contract,0,No Deposit     ,90,Offline TA/TO,2,0,0,0,A               ,2,5,0,        243
2015-July-2,27,F               ,119.35,1,       NULL,TA/TO,HB       ,0,2015-07-09,IRL,Transient,0,No Deposit     ,50,Online TA,2,0,0,0,E               ,2,5,1,        241
2015-July-2,27,D               ,67.58,0,       NULL,TA/TO,BB       ,0,2015-07-09,NOR,Transient-Party,0,No Deposit     ,113,Offline TA/TO,2,0,0,0,D               ,2,5,2,        156
2015-July-2,27,A               ,56.01,0,       NULL,TA/TO,BB       ,0,2015-07-13,IRL,Contract,0,No Deposit     ,93,Offline TA/TO,2,0,0,0,A               ,3,8,0,        156
2015-July-2,27,D               ,110.7,0,       NULL,TA/TO,BB       ,0,2015-07-16,OMN,Contract,0,No Deposit     ,76,Offline TA/TO,2,0,0,0,D               ,4,10,0,        243
2015-July-2,27,C               ,88.2,0,       NULL,TA/TO,BB       ,1,2015-07-03,ESP,Transient,0,No Deposit     ,3,Online TA,2,0,0,0,A               ,0,1,0,        240
2015-July-2,27,H               ,147,0,       NULL,TA/TO,BB       ,1,2015-07-03,ARG,Transient,0,No Deposit     ,1,Online TA,2,0,0,0,H               ,0,1,0,        240
2015-July-2,27,C               ,107,0,       NULL,Direct,BB       ,1,2015-07-03,ESP,Transient,0,No Deposit     ,1,Direct,2,0,2,0,C               ,0,1,2,       NULL
2015-July-2,27,H               ,147,0,       NULL,Direct,BB       ,0,2015-07-03,PRT,Transient,0,No Deposit     ,0,Direct,2,0,0,0,H               ,0,1,0,       NULL
2015-July-2,27,D               ,117.9,0,       NULL,TA/TO,BB       ,0,2015-07-03,PRT,Transient,0,No Deposit     ,0,Online TA,2,0,0,0,A               ,0,1,2,        240
2015-July-2,27,G               ,123,0,       NULL,Direct,BB       ,0,2015-07-03,PRT,Transient,0,No Deposit     ,0,Direct,2,0,0,0,G               ,0,1,0,       NULL
2015-July-2,27,C               ,98,0,       NULL,TA/TO,BB       ,0,2015-07-04,USA,Transient,0,No Deposit     ,14,Online TA,2,0,0,0,A               ,0,2,1,        242
2015-July-2,27,G               ,117.81,0,       NULL,TA/TO,BB       ,0,2015-07-04,PRT,Transient,0,No Deposit     ,10,Online TA,2,0,0,0,G               ,0,2,0,        241
2015-July-2,27,E               ,135,0,       NULL,TA/TO,BB       ,1,2015-07-04,IRL,Transient,0,No Deposit     ,5,Online TA,2,0,0,0,E               ,0,2,2,        240
2015-July-2,27,F               ,133,0,       NULL,Direct,BB       ,0,2015-07-05,ESP,Transient,0,No Deposit     ,17,Direct,2,0,0,0,F               ,0,3,1,        250
2015-July-2,27,C               ,58.95,0,       NULL,TA/TO,BB       ,0,2015-07-05,IRL,Contract,0,No Deposit     ,93,Offline TA/TO,2,0,0,0,A               ,0,3,0,        115
2015-July-3,27,H               ,153,0,       NULL,TA/TO,BB       ,1,2015-07-05,USA,Transient,0,No Deposit     ,10,Online TA,2,0,2,0,G               ,0,2,0,        240
2015-July-3,27,C               ,110.5,0,       NULL,TA/TO,BB       ,0,2015-07-05,ESP,Transient,0,No Deposit     ,3,Online TA,2,0,0,0,A               ,0,2,0,        240
2015-July-3,27,D               ,97,0,       NULL,TA/TO,BB       ,0,2015-07-05,POL,Transient,0,No Deposit     ,51,Online TA,2,0,0,0,D               ,0,2,0,        242
2015-July-3,27,A               ,91.5,0,       NULL,TA/TO,HB       ,0,2015-07-05,PRT,Transient,0,No Deposit     ,2,Offline TA/TO,2,0,0,0,A               ,0,2,0,          3
2015-July-3,27,A               ,114.5,0,       NULL,TA/TO,BB       ,0,2015-07-05,ESP,Transient,0,No Deposit     ,15,Online TA,2,0,0,0,A               ,0,2,0,        240
2015-July-3,27,A               ,90.9,0,       NULL,TA/TO,BB       ,1,2015-07-06,ESP,Transient,0,No Deposit     ,3,Online TA,2,0,0,0,A               ,1,2,0,        240
2015-July-3,27,A               ,122,0,       NULL,TA/TO,BB       ,0,2015-07-07,PRT,Transient,0,No Deposit     ,2,Online TA,1,0,0,0,A               ,2,2,0,        240
2015-July-3,27,A               ,110.7,0,       NULL,TA/TO,BB       ,1,2015-07-07,DEU,Transient,0,No Deposit     ,72,Offline TA/TO,2,0,0,0,A               ,2,2,0,        105
2015-July-3,27,D               ,85.86,0,       NULL,TA/TO,BB       ,0,2015-07-11,PRT,Transient,0,No Deposit     ,81,Offline TA/TO,3,0,0,0,D               ,2,6,0,          5
2015-July-3,27,A               ,58.95,0,       NULL,TA/TO,BB       ,0,2015-07-12,FRA,Contract,0,No Deposit     ,99,Offline TA/TO,2,0,0,0,A               ,2,7,0,         40
2015-July-3,27,A               ,55.68,0,       NULL,TA/TO,BB       ,0,2015-07-13,GBR,Contract,0,No Deposit     ,364,Offline TA/TO,2,0,0,0,A               ,3,7,0,         40
2015-July-3,27,E               ,111.15,0,       NULL,TA/TO,HB       ,0,2015-07-13,GBR,Contract,0,No Deposit     ,99,Offline TA/TO,2,0,0,0,E               ,3,7,0,        115
2015-July-3,27,E               ,134.73,0,       NULL,TA/TO,HB       ,0,2015-07-17,GBR,Contract,0,No Deposit     ,324,Offline TA/TO,2,0,0,0,E               ,4,10,0,         40
2015-July-3,27,F               ,92.45,1,       NULL,TA/TO,BB       ,0,2015-07-17,GBR,Transient,0,No Deposit     ,69,Online TA,2,0,0,0,F               ,4,10,1,        241
2015-July-3,27,C               ,73.8,0,       NULL,TA/TO,BB       ,0,2015-07-04,GBR,Transient,0,No Deposit     ,12,Online TA,2,0,0,0,A               ,0,1,0,        240
2015-July-3,27,C               ,98,0,       NULL,TA/TO,BB       ,1,2015-07-04,PRT,Transient,0,No Deposit     ,9,Online TA,2,0,0,0,A               ,0,1,2,        240
2015-July-3,27,C               ,131,0,       NULL,TA/TO,BB       ,0,2015-07-04,ESP,Transient,0,No Deposit     ,1,Online TA,2,0,0,0,A               ,0,1,1,        240
2015-July-3,27,E               ,123,0,       NULL,TA/TO,BB       ,0,2015-07-04,PRT,Transient,0,No Deposit     ,21,Online TA,2,0,0,0,E               ,0,1,0,        240
2015-July-3,27,C               ,94.71,0,       NULL,TA/TO,BB       ,0,2015-07-04,USA,Transient,0,No Deposit     ,9,Online TA,2,0,0,0,C               ,0,1,0,        241
2015-July-3,27,A               ,123,0,       NULL,TA/TO,BB       ,0,2015-07-04,BEL,Transient,0,No Deposit     ,109,Online TA,2,0,0,0,A               ,0,1,2,        240
2015-July-3,27,E               ,196.54,0,       NULL,TA/TO,HB       ,0,2015-07-10,ESP,Transient,0,No Deposit     ,63,Offline TA/TO,3,0,0,0,E               ,2,5,1,        105
2015-July-3,27,D               ,99.3,0,       NULL,TA/TO,BB       ,1,2015-07-10,PRT,Transient,0,No Deposit     ,101,Online TA,2,0,1,0,D               ,2,5,2,        240
2015-July-3,27,E               ,90.95,0,       NULL,Direct,BB       ,0,2015-07-10,DEU,Transient,0,No Deposit     ,102,Direct,2,0,0,0,E               ,2,5,0,        250
2015-July-4,27,C               ,92.67,0,       NULL,Direct,BB       ,0,2015-07-07,ESP,Transient,0,No Deposit     ,4,Direct,2,0,0,0,A               ,2,1,1,        250
2015-July-4,27,D               ,71.55,0,       NULL,TA/TO,BB       ,1,2015-07-07,FRA,Transient,0,No Deposit     ,98,Offline TA/TO,2,0,0,0,D               ,2,1,0,          8
2015-July-4,27,F               ,96.49,0,       NULL,TA/TO,BB       ,0,2015-07-10,FRA,Transient,0,No Deposit     ,92,Offline TA/TO,1,0,2,0,F               ,2,4,2,        241
2015-July-4,27,C               ,85.8,0,       NULL,TA/TO,BB       ,1,2015-07-10,PRT,Transient,0,No Deposit     ,95,Online TA,2,0,0,0,A               ,2,4,2,        240
2015-July-4,27,E               ,96.3,0,       NULL,TA/TO,BB       ,0,2015-07-11,PRT,Transient,0,No Deposit     ,102,Online TA,2,0,0,0,E               ,2,5,1,        240
2015-July-4,27,A               ,58.95,0,       NULL,TA/TO,BB       ,0,2015-07-11,PRT,Transient,0,No Deposit     ,115,Offline TA/TO,2,0,0,0,A               ,2,5,1,        134
2015-July-4,27,A               ,73.8,0,       NULL,TA/TO,BB       ,0,2015-07-11,PRT,Transient,0,No Deposit     ,102,Online TA,2,1,0,0,A               ,2,5,2,        240
2015-July-4,27,D               ,97,0,       NULL,TA/TO,BB       ,0,2015-07-11,CHE,Transient,0,No Deposit     ,86,Online TA,2,0,0,0,D               ,2,5,2,        240
2015-July-4,27,F               ,139,0,       NULL,TA/TO,HB       ,0,2015-07-11,PRT,Transient,0,No Deposit     ,78,Online TA,2,1,0,0,E               ,2,5,2,        240
2015-July-4,27,A               ,67.24,0,       NULL,TA/TO,BB       ,0,2015-07-11,GBR,Transient,0,No Deposit     ,52,Online TA,2,0,0,0,A               ,2,5,0,        147
2015-July-4,27,E               ,116.5,0,       NULL,TA/TO,BB       ,0,2015-07-12,PRT,Transient,0,No Deposit     ,29,Online TA,3,0,0,0,E               ,2,6,1,        241
2015-July-4,27,A               ,123,0,       NULL,TA/TO,BB       ,0,2015-07-12,PRT,Transient,0,No Deposit     ,109,Online TA,2,0,0,0,A               ,2,6,1,        240
2015-July-4,27,D               ,71.55,0,       NULL,TA/TO,BB       ,0,2015-07-14,GBR,Contract,0,No Deposit     ,92,Offline TA/TO,2,0,0,0,D               ,4,6,1,         40
2015-July-4,27,D               ,71.55,0,       NULL,TA/TO,BB       ,0,2015-07-14,PRT,Contract,0,No Deposit     ,92,Offline TA/TO,2,0,0,0,D               ,4,6,1,         40
2015-July-4,27,D               ,149,1,       NULL,Direct,HB       ,0,2015-07-14,PRT,Transient,0,No Deposit     ,79,Direct,2,0,1,0,D               ,4,6,1,        250
2015-July-4,27,G               ,163,1,       NULL,TA/TO,BB       ,1,2015-07-05,PRT,Transient,0,No Deposit     ,2,Online TA,2,0,2,0,H               ,0,1,0,        240
2015-July-4,27,C               ,79.5,0,       NULL,TA/TO,BB       ,0,2015-07-05,PRT,Contract,0,No Deposit     ,30,Offline TA/TO,2,0,0,0,D               ,0,1,0,          8
2015-July-4,27,H               ,0,2,       NULL,Direct,FB       ,0,2015-07-05,PRT,Transient,0,No Deposit     ,32,Complementary,4,0,0,0,H               ,0,1,1,       NULL
2015-July-4,27,E               ,123,0,       NULL,TA/TO,BB       ,0,2015-07-05,ESP,Transient,0,No Deposit     ,8,Online TA,2,0,0,0,E               ,0,1,0,        240
2015-July-4,27,C               ,73.8,0,       NULL,TA/TO,BB       ,1,2015-07-06,FRA,Transient-Party,0,No Deposit     ,100,Online TA,2,0,0,0,A               ,1,1,1,        240
2015-July-4,27,A               ,114.5,0,       NULL,TA/TO,BB       ,0,2015-07-06,PRT,Transient,0,No Deposit     ,1,Online TA,2,0,0,0,A               ,1,1,0,        240
2015-July-4,27,A               ,73.8,0,       NULL,TA/TO,BB       ,0,2015-07-06,FRA,Transient-Party,0,No Deposit     ,100,Online TA,2,0,0,0,A               ,1,1,2,        240
2015-July-4,27,C               ,73.8,0,       NULL,TA/TO,BB       ,0,2015-07-06,FRA,Transient-Party,0,No Deposit     ,100,Online TA,2,0,0,0,A               ,1,1,1,        240
2015-July-5,28,C               ,88.2,0,       NULL,TA/TO,BB       ,0,2015-07-06,ESP,Transient,0,No Deposit     ,9,Online TA,2,0,0,0,A               ,1,0,1,        240
2015-July-5,28,C               ,85.1,1,       NULL,TA/TO,BB       ,0,2015-07-06,ESP,Transient,0,No Deposit     ,0,Online TA,2,0,0,0,A               ,1,0,0,        306
2015-July-5,28,A               ,89,0,       NULL,TA/TO,BB       ,0,2015-07-06,DEU,Transient,0,No Deposit     ,9,Online TA,1,0,0,0,A               ,1,0,0,        184
2015-July-5,28,D               ,80.1,0,       NULL,TA/TO,BB       ,0,2015-07-06,PRT,Transient,0,No Deposit     ,2,Online TA,1,0,0,0,A               ,1,0,0,        240
2015-July-5,28,E               ,98,0,       NULL,TA/TO,BB       ,0,2015-07-06,PRT,Transient,0,No Deposit     ,2,Online TA,2,0,0,0,A               ,1,0,0,        240
2015-July-5,28,A               ,101,0,       NULL,TA/TO,BB       ,1,2015-07-06,DEU,Transient,0,No Deposit     ,9,Online TA,1,0,0,0,A               ,1,0,0,        184
2015-July-5,28,G               ,167,0,       NULL,Direct,BB       ,0,2015-07-06,PRT,Transient,0,No Deposit     ,2,Direct,2,0,0,0,G               ,1,0,1,       NULL
2015-July-5,28,G               ,225,3,       NULL,TA/TO,HB       ,2,2015-07-07,PRT,Transient,0,No Deposit     ,44,Online TA,3,0,0,0,G               ,2,0,0,        240
2015-July-5,28,E               ,97,0,       NULL,TA/TO,BB       ,1,2015-07-07,FRA,Transient,0,No Deposit     ,80,Online TA,2,0,0,0,D               ,2,0,0,        240
2015-July-5,28,D               ,87.3,0,       NULL,TA/TO,BB       ,0,2015-07-09,ESP,Transient,0,No Deposit     ,97,Online TA,2,0,0,0,D               ,2,2,2,        240
2015-July-5,28,D               ,85.59,0,       NULL,TA/TO,BB       ,1,2015-07-10,CN,Transient,0,No Deposit     ,109,Offline TA/TO,2,0,1,0,A               ,2,3,2,        241
2015-July-5,28,E               ,123,0,       NULL,TA/TO,BB       ,0,2015-07-10,ESP,Transient,0,No Deposit     ,30,Online TA,2,0,0,0,E               ,2,3,0,        240
2015-July-5,28,E               ,107,0,       NULL,TA/TO,BB       ,0,2015-07-10,PRT,Transient,0,No Deposit     ,64,Online TA,2,0,0,0,E               ,2,3,0,        240
2015-July-5,28,H               ,163,0,       NULL,TA/TO,BB       ,0,2015-07-11,ESP,Transient,0,No Deposit     ,39,Online TA,2,0,0,0,H               ,2,4,0,        240
2015-July-5,28,A               ,82,0,       NULL,TA/TO,BB       ,0,2015-07-11,PRT,Transient,0,No Deposit     ,90,Online TA,2,0,0,0,A               ,2,4,0,        240
2015-July-5,28,C               ,164.2,1,       NULL,Direct,HB       ,1,2015-07-12,PRT,Transient,0,No Deposit     ,97,Direct,2,0,2,0,C               ,2,5,1,        250
2015-July-5,28,F               ,97.29,0,       NULL,TA/TO,BB       ,0,2015-07-12,IRL,Transient,0,No Deposit     ,29,Online TA,2,0,0,0,F               ,2,5,1,        241
2015-July-5,28,E               ,98.4,0,       NULL,TA/TO,BB       ,0,2015-07-12,ESP,Transient,0,No Deposit     ,27,Offline TA/TO,2,0,0,0,E               ,2,5,0,        175
2015-July-5,28,H               ,175,1,       NULL,TA/TO,BB       ,1,2015-07-14,CHE,Transient,0,No Deposit     ,8,Online TA,2,0,2,0,H               ,4,5,1,        240
2015-July-5,28,D               ,63.6,0,       NULL,TA/TO,BB       ,1,2015-07-15,PRT,Transient,0,No Deposit     ,82,Offline TA/TO,2,0,0,0,D               ,4,6,2,          5
2015-July-5,28,C               ,124.45,3,       NULL,Direct,BB       ,1,2015-07-15,PRT,Transient,0,No Deposit     ,94,Direct,3,0,0,0,D               ,4,6,1,       NULL
2015-July-5,28,D               ,110.7,0,       NULL,TA/TO,BB       ,0,2015-07-16,GBR,Contract,0,No Deposit     ,110,Offline TA/TO,2,0,0,0,D               ,4,7,0,         40
2015-July-5,28,A               ,74.07,0,       NULL,TA/TO,HB       ,0,2015-07-19,GBR,Contract,0,No Deposit     ,96,Offline TA/TO,1,0,0,0,A               ,4,10,0,         40
2015-July-5,28,D               ,134.1,0,       NULL,TA/TO,HB       ,0,2015-07-19,GBR,Contract,0,No Deposit     ,79,Offline TA/TO,2,0,0,0,D               ,4,10,0,        243
2015-July-6,28,G               ,167,1,       NULL,TA/TO,BB       ,0,2015-07-11,PRT,Transient,0,No Deposit     ,115,Online TA,2,0,2,0,G               ,1,4,0,        240
2015-July-6,28,C               ,123,0,       NULL,TA/TO,BB       ,0,2015-07-10,PRT,Transient,0,No Deposit     ,111,Online TA,2,0,0,0,A               ,1,3,2,        240
2015-July-6,28,G               ,117.81,0,       NULL,TA/TO,BB       ,1,2015-07-10,USA,Transient,0,No Deposit     ,51,Online TA,2,0,0,0,G               ,1,3,2,        241
2015-July-6,28,D               ,171.32,0,       NULL,TA/TO,BB       ,0,2015-07-10,CN,Transient,0,No Deposit     ,94,Offline TA/TO,3,0,0,0,D               ,1,3,1,         96
2015-July-6,28,G               ,210,0,       NULL,Direct,HB       ,1,2015-07-10,CHE,Transient,0,No Deposit     ,81,Direct,2,0,2,0,G               ,1,3,0,        250
2015-July-6,28,E               ,97,1,       NULL,TA/TO,BB       ,0,2015-07-10,PRT,Transient,0,No Deposit     ,84,Online TA,2,1,0,0,D               ,1,3,2,        240
2015-July-6,28,G               ,117.81,0,       NULL,TA/TO,BB       ,0,2015-07-10,USA,Transient,0,No Deposit     ,51,Online TA,3,0,0,0,G               ,1,3,2,        241
2015-July-6,28,H               ,0,0,       NULL,TA/TO,BB       ,0,2015-07-06,PRT,Transient,0,No Deposit     ,111,Online TA,2,0,0,0,A               ,0,0,2,        240
2015-July-6,28,H               ,0,0,       NULL,Direct,BB       ,0,2015-07-06,PRT,Transient,0,No Deposit     ,0,Direct,1,0,0,0,E               ,0,0,0,        250
2015-July-6,28,E               ,131,0,       NULL,Direct,BB       ,0,2015-07-07,PRT,Transient,0,No Deposit     ,2,Direct,2,0,1,0,A               ,1,0,0,       NULL
2015-July-6,28,E               ,98,0,       NULL,TA/TO,BB       ,0,2015-07-08,PRT,Transient,0,No Deposit     ,7,Online TA,2,0,0,0,A               ,1,1,2,        240
2015-July-6,28,F               ,87.3,0,       NULL,TA/TO,BB       ,1,2015-07-08,USA,Transient,0,No Deposit     ,98,Online TA,2,0,0,0,D               ,1,1,1,        240
2015-July-6,28,D               ,97,0,       NULL,TA/TO,BB       ,0,2015-07-09,GRC,Transient,0,No Deposit     ,95,Online TA,2,0,0,0,D               ,1,2,1,        240
2015-July-6,28,E               ,91.5,0,       NULL,TA/TO,HB       ,0,2015-07-10,PRT,Transient,0,No Deposit     ,66,Offline TA/TO,2,0,0,0,A               ,1,3,0,        175
2015-July-6,28,C               ,73.8,1,       NULL,TA/TO,BB       ,0,2015-07-10,PRT,Transient,0,No Deposit     ,104,Online TA,2,0,0,0,A               ,1,3,1,        240
2015-July-6,28,E               ,123,0,       NULL,TA/TO,BB       ,0,2015-07-11,PRT,Transient,0,No Deposit     ,28,Online TA,2,0,0,0,E               ,1,4,0,        240
2015-July-6,28,F               ,175,0,       NULL,Direct,HB       ,1,2015-07-11,PRT,Transient,0,No Deposit     ,34,Direct,2,0,0,0,F               ,1,4,0,        250
2015-July-6,28,C               ,117.8,0,       NULL,TA/TO,HB       ,1,2015-07-12,ESP,Transient,0,No Deposit     ,98,Online TA,2,0,0,0,A               ,1,5,1,        240
2015-July-6,28,E               ,117.63,1,       NULL,TA/TO,BB       ,0,2015-07-12,PRT,Transient,0,No Deposit     ,104,Online TA,2,0,0,0,E               ,1,5,0,        240
2015-July-6,28,G               ,185,0,       NULL,TA/TO,HB       ,0,2015-07-13,PRT,Transient,0,No Deposit     ,68,Online TA,2,0,2,0,G               ,2,5,0,        240
2015-July-6,28,A               ,47.25,0,       NULL,TA/TO,BB       ,0,2015-07-13,GBR,Contract,0,No Deposit     ,258,Offline TA/TO,2,0,0,0,A               ,2,5,0,          2
2015-July-6,28,C               ,151,0,       NULL,TA/TO,HB       ,0,2015-07-14,PRT,Transient,0,No Deposit     ,111,Online TA,2,0,0,0,A               ,3,5,1,        240
2015-July-6,28,A               ,120.6,0,       NULL,TA/TO,BB       ,0,2015-07-16,GBR,Transient,0,No Deposit     ,112,Offline TA/TO,2,0,0,0,A               ,3,7,1,        242
2015-July-6,28,D               ,63.86,1,       NULL,TA/TO,BB       ,0,2015-07-16,GBR,Transient,0,No Deposit     ,100,Offline TA/TO,2,0,0,0,D               ,3,7,1,        241
2015-July-6,28,F               ,157.1,5,       NULL,Direct,HB       ,0,2015-07-16,PRT,Transient,0,No Deposit     ,33,Direct,2,0,0,0,F               ,3,7,1,        250
2015-July-6,28,D               ,91.37,0,       NULL,TA/TO,HB       ,0,2015-07-16,GBR,Contract,0,No Deposit     ,97,Offline TA/TO,2,0,0,0,D               ,3,7,2,        156
2015-July-6,28,A               ,73,1,       NULL,Direct,BB       ,0,2015-07-17,FRA,Transient,0,No Deposit     ,80,Direct,1,0,0,0,A               ,3,8,0,       NULL
